动物,学名,分类,栖息地,分布,食性,行为,繁殖,保护状态,趣味事实,来源URL,语言,状态,错误信息
长颈鹿,Giraffa,Giraffina；属：Giraffa,疏林草原、开放疏林（偏好含羞草亚科没药属、风车藤属与榄仁树属组成的开阔林地，而非短盖豆属为主的密集林地）；安哥拉长颈鹿栖息在沙漠。,北起乍得，南达南非，西到尼日尔，东至索马里。,以树木的嫩枝与树叶为食，偏好金合欢族、没药属与榄仁树属；也吃灌木、草、水果；应激状态下啃食树皮；偶尔舔拭骨头上的干肉。一头成年长颈鹿一天进食约34千克枝叶。,群居动物，群体组成开放且不断变化；雄鹿通过“脖击”划分社会等级；母亲在开阔区域进食以便发现掠食者；日出后一小时和日落后的一个小时是进食高峰期，其他时间反刍。,多配偶制；孕期400到460天，通常产一胎；幼犊出生后数小时能奔跑；存在“托婴”现象；雌性四岁性成熟，雄性四到五岁成熟但需至少七岁才有机会交配。,国际自然保护联盟评估为易危物种。,长颈鹿的左喉返神经比右边长30厘米，长度2米，是地球上现存生物中最长的喉返神经。；长颈鹿睡觉时平均每天断断续续睡眠4.6小时，大部分在晚上，躺下时会出现间歇性短期“深度睡眠”。；计算机科学家利用反应-扩散机制对几种长颈鹿的外皮样式进行了建模。,https://zh.wikipedia.org/wiki/%E9%95%BF%E9%A2%88%E9%B9%BF,zh,success,
斑马,Hippotigris,属：Equus；亞屬：Hippotigris,各种类型的栖息地，例如热带草原、半干草原。山斑马皮肤较平滑，有白色腹部及较窄斑纹。,常见于非洲。平原斑马多生活于南非及东非；细纹斑马聚居于埃塞俄比亚及肯尼亚北部的半干草原。,草食性动物。食物包括草、灌木、树枝、树叶甚至树皮。,大多数的斑马是社会性动物，习惯群体生活。没有固定的栖居地，过着迁徙性的生活。被其他动物追逐时经常霎时转弯令敌人很难捕捉它们，走投无路的话便会猛啖飙起，又踢又咬。,雌性比雄性较早成熟，三岁就能够生殖，而雄性到五六岁才有繁殖能力。刚出世的斑马斑纹是棕色及白色的，随着年龄和长大，便会变成黑底白间。,IUCN体系：细纹斑马及山斑马均被列为濒危动物（Endangered）；平原斑马拥有健康的种群数目（但部分亚种如拟斑马已灭绝）。,斑马是黑色皮肤、黑毛与白毛相间的动物，黑白条纹有助于打散外轮廓使掠食者不容易锁定个体，并可使马蝇等害虫较不会寄生。；斑马从未被人类真正驯养，因为天性较难预测，在压力下容易受惊吓，成功驯服的多为杂交斑马。；根据纳米比亚布殊曼人的民间故事，斑马本来全身都是白色的，因跌进火堆里留下黑色的斑纹。,https://zh.wikipedia.org/wiki/%E6%96%91%E9%A6%AC,zh,success,
角马,Connochaetes,Alcelaphinae；属：Connochaetes,非洲热带大草原,特有于非洲中部和东南部，从肯尼亚南部到南非、从莫桑比克到纳米比亚再到安哥拉南部都有分布。几乎所有的国家公园都有角马。,主要以草为食，也吃些多汁的植物。,好群居，雨季结成小群活动；旱季合成大群。雌性组成的群体一般都很小，平均约八只母角马及少年公角马和幼角马。在同一区域通常共有2-25只角马，分几个小群活动。当草源充足时，7英亩的牧场就足够一群角马生活了。它们在清晨和午后活动。寿命约15到20年。,孕期：8.5月；每胎数量：1.5±0.5；哺乳期：7.5±0.5月。,,角马的头粗大而且肩宽，很像水牛；后部纤细，比较像马。；雄性角长55~80cm，雌性角长45~63cm，角马由此得名。,https://zh.wikipedia.org/wiki/%E8%A7%92%E9%A9%AC,zh,partial,字段缺失：保护状态
赤猴,Erythrocebus patas,属：Erythrocebus；种：Erythrocebus patas,热带草原和半沙漠地区,非洲（主要分布于西非）,昆虫、种子和植物根茎,群居动物，一群大约12只，通常只有一只成年雄性。性成熟的雄性猴（约4岁）会离开群体。奔跑速度可达55公里/小时，是灵长目中速度最快的一种。,,IUCN：近危物种,赤猴是灵长目中奔跑速度最快的动物，时速可达55公里。；赤猴属仅包含赤猴这一种动物。；赤猴分为两个亚种：西部亚种鼻子为黑色，东部亚种鼻子为白色。,https://zh.wikipedia.org/wiki/%E8%B5%A4%E7%8C%B4,zh,partial,字段缺失：繁殖
黑白疣猴,Colobus guereza,属：Colobus；种：Colobus guereza,落叶和常绿的森林中，更喜欢靠近河流或湖泊的次生林,非洲中西部和东部，包括喀麦隆、赤道几内亚、尼日利亚、埃塞俄比亚、肯尼亚、坦桑尼亚、乌干达和乍得,树叶、种子、水果和节肢动物,日行性，在树上生活，团体生活，一般成员3到15只，一夫多妻制，交配由声音交流发起,孕期为五个月，幼崽出生时皮肤为粉红色，毛发为白色，在3到4个月内变暗到成猴的颜色,IUCN：无危物种,它有与众不同的外貌，体现在其名称上，长长的白毛沿着躯体的两边分布，脸上有白色毛发并有一个很大的白色尾巴。；它的特殊构造的胃可以消化高纤维的植物原料，并且可能一段时间只吃几个品种的植物。,https://zh.wikipedia.org/wiki/%E4%B8%9C%E9%BB%91%E7%99%BD%E7%96%A3%E7%8C%B4,zh,success,
赤大袋鼠,Macropus rufus,属：Macropus；种：Macropus rufus,澳洲中部的干旱内陆，以及较少树生长的辽阔平原。,特有于澳大利亚。广泛分布在澳洲大陆，只较少于南部、东岸及北部的雨林中出现。,喜欢吃草及其他植被。它们可以一段长时间不用喝水，因它们在吃绿色植物时吸收所需的水分。,主要于夜间或日间较冷的时份较为活跃，属于夜间活动或暮晨活动。于日间的时间，它们多会在睡觉或以其他方式休息。红大袋鼠是单独或以小群生活的，但若食物不足时，它们会聚集为大群。每一小群一般约有2-10只红大袋鼠，但有时也会达至几百只。组成小群的成员是很随意的，雄性并非地盘性的，只会为雌性而打斗。小群内体型最大的就是领袖，控制着群内的交配。雄性红大袋鼠打斗时，会以后肢站立，并以前肢将对方推倒。若打斗激烈，它们会以尾巴支撑，脚踢对方。,全年都会繁殖。雌性具有胚胎滞育特性，可延后下一胎出生直至前一胎幼崽离开育儿袋。妊娠期约为33日。幼袋鼠出生后约235日永久离开育儿袋，12个月大断奶。刚出生的幼崽发育不完全，无毛且无助，需爬入育儿袋继续发育。,,红大袋鼠是体型最大的袋鼠，也是现存最大的有袋类动物。；红大袋鼠的视觉范围约有300°。；红大袋鼠可以跳3米高，9米远，并能达到时速60公里以上。,https://zh.wikipedia.org/wiki/%E7%B4%85%E5%A4%A7%E8%A2%8B%E9%BC%A0,zh,partial,字段缺失：保护状态
岩大袋鼠,Macropus robustus,属：Macropus；种：Macropus robustus,,特有于：澳大利亚,,主要是夜间活动及独自生活,,巴罗岛的亚种（M. r. isabellinus）被列为易危,岩大袋鼠是广泛分布在澳洲大陆的一种大型袋鼠，且是最为普遍的一种。；其亚种多具两性异形特征，例如东部亚种雄性呈深灰色像黑大袋鼠，而雌性一般呈沙色。,https://zh.wikipedia.org/wiki/%E5%B2%A9%E5%A4%A7%E8%A2%8B%E9%BC%A0,zh,partial,字段缺失：栖息地、食性、繁殖
黑天鹅,Cygnus atratus,属：Cygnus；种：Cygnus atratus,淡水、半咸水和咸水湖泊、沼泽和河流，需要有水下和浮出水面的植被供食物和筑巢材料。喜欢永久性的湿地，包括观赏性湖泊，但也出现在被淹没的牧场和潮汐泥滩上，偶尔也会在岛屿或海岸附近的开阔海域上出现。繁殖后脱落飞行羽毛期间，通常会在大型开阔水域上安顿以求安全。,分布于澳大利亚西南部和东部的湿地及其附近的海岛上很常见。在西南部，分布范围包括澳大利亚西北角、露纹角和西澳大利亚尤克拉之间的地区；在东部，分布范围较广，在阿瑟顿高原、艾尔半岛和塔斯马尼亚之间的范围内均有分布，其中墨累—大令盆地有非常庞大的种群。在澳大利亚中部和北部并不常见。分布范围为100-1000万平方公里。,几乎完全是食草性的，饮食通常以水生和沼泽植物为主。在新南威尔士州，香蒲的叶子是重要食物，其次是水下的藻类和水生植物如苦草。在昆士兰州，眼子菜、石藻和藻类是主要食物。洪水泛滥时，若无法在水中获取食物，会在岸上吃牧场植物。,具有高度迁徙性，迁徙是对降雨情况做出机会主义性反应。降雨量较高年份从西南部和东南部向内陆迁徙，干旱年份则从内陆迁往降水更充沛的地区。长期干旱的中心地区有大量降雨时会迁移筑巢，若雏鸟未飞前再次干旱则放弃巢穴返回湿润地区。像许多其他鸭科水禽一样，繁殖后脱落所有飞行羽毛，约一个月内无法飞行。有时以家庭为单位生活，有时可形成上百只到上千只的群体。,主要是单偶制（一夫一妻制），终生配对（存在大约6%的离婚率）。估计有四分之一的配对是同性恋，主要是雄性之间。配对的雄性会偷窝或与雌性形成临时三人组来获得蛋。筑巢期一般在南半球较湿润的冬季（2月至9月），巢为直径1-1.5米、高达1米的草堆，分布在浅水或岛屿上，父母双方共同修建并每年重复使用。一般每次繁殖产4-8个绿白色的蛋，孵化期约为35–40天。黑天鹅在最后一个蛋下完后开始孵化以使雏鸟同步孵化，雌雄双方都会孵蛋，雌性一般在夜间孵蛋。如果蛋滚出巢，父母双方都会用脖子捡回。孵化后，雏鸟由父母照顾约九个月直到飞羽成熟。未成年黑天鹅在开始繁殖前会加入未成年群一到两年。,IUCN：无危物种,黑天鹅行为中特别有趣的“凯旋仪式”用于加强配偶纽带及宣示领地，包括张开翅膀、扬起下巴、交替低头保持直立姿势、伸长脖子鸣叫以及颈部成四十五度角绕圈游泳等动作。；与其他天鹅物种不同，黑天鹅的父母双方都会用脖子把不小心从巢里滚出来的蛋捡回来。；黑天鹅对禽流感等鸟类流行病的抗性较差，因为其在演化过程中失去了大量免疫基因，感染高致病性禽流感后往往在2到3天内死亡。,https://zh.wikipedia.org/wiki/%E9%BB%91%E5%A4%A9%E9%B9%85,zh,success,
环尾狐猴,Lemur catta,属：Lemur；种：Lemur catta,干旱多岩石地区,特有于马达加斯加（分布于南马达加斯加）,主要吃素，有时也吃昆虫、鸟蛋甚至幼鸟,昼行性，喜欢在地面上活动，为母系社会，好斗，常常为了领地而争斗,每年11～12月发情交配，孕期约5个月（Wikidata: 133±1天），每胎2—3仔，2岁性成熟，寿命16—20年,IUCN：瀕危 (保育狀況),环尾狐猴是狐猴属的唯一一个种。；自2000年以来，由于盗猎和森林破坏，其野外数量下降了95%，仅存约2000只。,https://zh.wikipedia.org/wiki/%E7%8E%AF%E5%B0%BE%E7%8B%90%E7%8C%B4,zh,success,
褐美狐猴,Eulemur fulvus,Eulemur；种：Eulemur fulvus,热带雨林,马达加斯加北部和西部，以及科摩罗马约特岛,杂食性。主要食物为果实、植物和树胶；也食用面包、饼干、猴饲料、香蕉、苹果、番石榴、番茄、猴米糕、木瓜、花胡瓜、红萝卜等；部分地区亦吃蝉、蜘蛛和马陆等无脊椎动物。,群居动物，每群由3～15只个体组成。会在身上涂抹尿液作为气味识别以鉴别群集。领地有重合，但甚少接触、冲突。半夜行性，于黄昏及黎明活动。,每年发情一次，怀孕期为4个月。,IUCN：易危物種,其种加词“Fulvus”意为“红黄色的”。；在台北市立动物园中，褐狐猴的繁殖状况被认为是最好的狐猴之一。,https://zh.wikipedia.org/wiki/%E8%A4%90%E7%8B%90%E7%8C%B4,zh,success,
